,Company,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
40,SBUX,115.74766512363102,241.29423727162,-125.8798662293632,-0.13102264826402757,-0.04361163862365706,0.07868609074881693,2019-12-29,2020-03-29,2020-06-28
41,BIIB,39.14329068687013,27.91569612865573,66.07742103521026,0.11150961592106416,0.13636403830679034,0.06520425709903797,2020-03-31,2020-06-30,2020-09-30
42,VRSN,62.91798566964767,156.72955305320733,138.32787823496452,-0.23711069508925467,-0.10888837154829882,-0.1233394024734391,2020-03-31,2020-06-30,2020-09-30
43,DLTR,168.6892764227642,74.20188206785139,84.99669216061184,0.01966489735882842,0.03797196577002116,0.03837912410473171,2020-02-01,2020-05-02,2020-08-01
44,XLNX,116.11580948489444,237.30921335308412,126.1271526230858,0.0700883653002593,0.040452602177998176,0.07901707288335914,2020-03-28,2020-06-27,2020-09-26
45,SNPS,219.01466486003403,220.66983697234352,122.86116879060222,0.025082029209701925,0.025711763459261405,0.05502940104549139,2020-01-31,2020-04-30,2020-07-31
46,ROST,87.62680874394091,-102.44469340378365,1440.7394856443054,0.13578421843691849,-0.10855500406049283,0.007689386052380738,2020-02-01,2020-05-02,2020-08-01
47,MSFT,103.29628993046614,111.99325451078869,138.69897675415103,0.10579516660763426,0.0939031100165064,0.09468826075196105,2019-12-31,2020-03-31,2020-06-30
48,MCHP,86.00078158148504,173.37036576576574,218.90390355987054,0.055389381476338,0.017885596634141975,0.022467416792394525,2019-12-31,2020-03-31,2020-06-30
49,IDXX,251.8183562809406,187.8206443882068,191.53004109037198,0.5099141841294169,1.038570128350391,0.545641717009265,2019-12-31,2020-03-31,2020-06-30
50,FAST,87.64269615788747,102.54664085391376,116.78066351146727,0.07626289241888128,0.08584261588214158,0.07676046576102023,2020-03-31,2020-06-30,2020-09-30
51,CTAS,122.36919290465632,184.33333692983365,118.99690634726086,0.0705469918710926,0.04469118157073345,0.08322366486499683,2020-02-29,2020-05-31,2020-08-31
52,AAPL,58.05649333264759,97.00579304460521,136.85094622404264,0.24836090292747764,0.1434364042078419,0.15568191250933844,2019-12-28,2020-03-28,2020-06-27
53,AMGN,82.79454010569583,65.1047109041096,76.9273628397116,0.17605706606016747,0.19240906694781235,0.16915282859555306,2019-12-31,2020-03-31,2020-06-30
54,ADBE,176.35451308900522,170.45545454545456,262.27581253403145,0.09125656951743909,0.10109364948074626,0.08153333902501494,2020-02-28,2020-05-29,2020-08-28
55,PDD,-100.64571701705319,-40.67253073498136,-456.3544287256671,-0.07106936029919585,-0.18974827587684087,-0.0304927534069803,2019-12-31,2020-03-31,2020-06-30
56,MRNA,-53.13266922901978,-85.12835344924736,-209.35051770496858,-0.10479652028838705,-0.07570965229505738,-0.03960554958880309,2019-12-31,2020-03-31,2020-06-30
57,CPRT,143.4153070115644,129.5946423074576,134.59798952474733,0.07940165545817843,0.06465860971297377,0.06649204102323504,2020-01-31,2020-04-30,2020-07-31
58,ANSS,135.01251658104817,440.9228775182355,262.6367571765876,0.04802600583370664,0.013991222075417255,0.028086867897132325,2019-12-31,2020-03-31,2020-06-30
59,EXC,56.08245764248705,60.4626969072165,67.31009289827256,0.023957298907646474,0.01791761591035035,0.01593126012904015,2019-12-31,2020-03-31,2020-06-30
60,FOXA,75.43457333333333,183.87383076923078,132.33893606557376,0.02903038513644281,0.007712082262210797,0.012086387953239549,2019-12-31,2020-03-31,2020-06-30
61,FOX,39.09002004008016,75.22913333333334,174.66,0.04835271317829457,0.02903038513644281,0.008898556456397073,2019-09-30,2019-12-31,2020-03-31
62,LULU,108.20915690505032,999.0677588013413,495.14686939090564,0.1526576437672432,0.015596580649062228,0.04337659949367898,2020-02-02,2020-05-03,2020-08-02
63,AMD,314.8389411764706,351.93777777777774,391.54585987261146,0.060134418111071807,0.05334211392821864,0.04750378214826021,2019-12-28,2020-03-28,2020-06-27
64,PEP,106.8317692077728,108.39249513973269,84.18873550851157,0.0993687337541775,0.13177487791209672,0.16991767410813619,2020-03-21,2020-06-13,2020-09-05
65,KHC,204.52539395604396,76.602,-22.63031496062992,0.0035255603122639136,0.007410456978180321,-0.03366639477977162,2019-12-28,2020-03-28,2020-06-27
66,WDAY,-332.62633059285076,-226.3671455091938,-1524.039186179326,-0.05146003440106396,-0.060863857242340905,-0.00987007826025074,2020-01-31,2020-04-30,2020-07-31
67,LBTYA,-10.36130591922106,10.981958333965046,-25.54982996756963,-0.10190207405447517,0.07171495231839083,-0.040528838719653626,2019-12-31,2020-03-31,2020-06-30
68,ALGN,182.2704504296482,9.055160984131145,-532.4211703856953,0.09007932882126984,0.5321194718942134,-0.014271127521708796,2019-12-31,2020-03-31,2020-06-30
69,MELI,-526.6399328160303,-1150.5657424226633,875.8753307040593,-0.025936099728957718,-0.010740252669926377,0.0293362879189887,2019-12-31,2020-03-31,2020-06-30
70,NTES,601.4144794649263,582.5091205728424,294.26249458336594,0.18087501692012728,0.02736448785613377,0.05672774050196953,2019-11-30,2019-12-31,2020-03-31
71,CSX,57.12439883116884,106.82972745490981,80.94142454619566,0.06486395417403758,0.04106995884773663,0.057829810638799405,2020-03-31,2020-06-30,2020-09-30
72,ULTA,68.84471068925419,-153.9882474620744,1354.1177384500745,0.1170914791803139,-0.04476102349028683,0.004547115331944501,2020-02-01,2020-05-02,2020-08-01
73,TMUS,90.34172792756326,76.40092183701368,1170.7676093272728,0.026086352426273923,0.03281913241536391,0.001746142612229348,2019-12-31,2020-03-31,2020-06-30
74,SWKS,80.70826557759626,81.6755439536168,162.73857386276023,0.06024886930846202,0.04371439606063532,0.031010902830910483,2019-12-27,2020-03-27,2020-06-26
75,BMRN,1010.3736255324814,194.3361902655411,-763.8390453346126,0.004811712600095888,0.025117887185096617,-0.009016340514459419,2019-12-31,2020-03-31,2020-06-30
76,LBTYK,-16.767533159463806,12.154091809212465,-27.108101079740557,-0.05482875202116713,0.07171495231839083,-0.040528838719653626,2019-12-31,2020-03-31,2020-06-30
77,EBAY,52.27973561151079,6.625524912075029,49.84186246648794,0.19372822299651568,1.6132387706855793,0.2570640937284631,2019-12-31,2020-03-31,2020-06-30
78,BIDU,-3.6716176860584584,5.468276720074906,-15611.273930720337,-0.051042090510420905,0.03408655687476063,-0.01024883832023277,2019-11-13,2019-12-31,2020-05-20
79,MAR,178.6116346953405,790.0901290322581,-119.28926495726496,0.3968705547652916,-1.55,2.962025316455696,2019-12-31,2020-03-31,2020-06-30
80,CTXS,70.85872908364034,99.39871822957477,164.71634678405044,0.24725304898430858,-0.8277660794138739,-1.2063122355656224,2019-12-31,2020-03-31,2020-06-30
81,WDC,-136.72540143884893,681.0370588235295,85.45351351351351,-0.014820343320183388,0.0018392296873309532,0.015495759606323945,2020-01-03,2020-04-03,2020-07-03
82,VRSK,187.12394338136156,134.30574173933604,156.98629004469274,0.05847487615003539,0.08252823840422975,0.08225724920729746,2019-12-31,2020-03-31,2020-06-30
83,QCOM,108.50056810810811,167.57108952991453,119.33997183431951,0.2049634389541325,0.15369458128078817,0.2555958862673926,2019-12-29,2020-03-29,2020-06-28
84,ADI,197.21881124223785,142.24009685239974,117.20107530999682,0.017440754823317337,0.02309544297756042,0.030792880698548766,2020-02-01,2020-05-02,2020-08-01
85,MDLZ,109.1061611570248,97.458828125,135.25012867647058,0.02665100400132154,0.02866713406559165,0.020908601737258822,2019-12-31,2020-03-31,2020-06-30
86,CDNS,140.27667354905313,199.47647309731278,175.59373280723256,0.05745521071884352,0.05817876294352067,0.0674662042861472,2020-03-28,2020-06-27,2020-09-26
87,AVGO,324.0740727272728,192.26862682060388,197.03351744186048,0.01579940906106369,0.023515161640631527,0.029205756250795942,2020-02-02,2020-05-03,2020-08-02
88,ALXN,27.128740157480316,35.84514705882353,-23.181484879692913,0.07886939086924892,0.04746420606411413,-0.10181301711976208,2019-12-31,2020-03-31,2020-06-30
89,NFLX,239.62685754660703,286.8151625390866,278.8138046466146,0.08431944465254752,0.07715212175405177,0.07644936677194741,2020-03-31,2020-06-30,2020-09-30
90,BKNG,74.002679205807,-79.08902811258942,535.0653959016392,0.19737063879993258,-0.18245888801879404,0.030507626906726683,2019-12-31,2020-03-31,2020-06-30
91,ORLY,103.17554050893155,75.81712749385896,59.350742306744635,0.8177278904716364,2.760262393884826,0.9025072143948396,2019-12-31,2020-03-31,2020-06-30
92,ILMN,204.57263598326358,236.31236994219657,1140.8910638297873,0.05181010188597442,0.03732470334412082,0.010300241069471838,2019-12-29,2020-03-29,2020-06-28
93,MNST,134.91756179546113,109.05927405096203,118.25891504934658,0.06112127185869281,0.072032779584112,0.07375720708556593,2019-12-31,2020-03-31,2020-06-30
94,GOOGL,87.25841554399776,125.55909997805735,149.4421742994683,0.052973064207067044,0.03356591164642859,0.03356614348694301,2019-12-31,2020-03-31,2020-06-30
95,ATVI,87.02973942857143,90.5678091089109,101.54896551724138,0.04099960952752831,0.03878350357115429,0.04239146323636895,2019-12-31,2020-03-31,2020-06-30
96,SIRI,132.77286008230453,75.78111604095562,107.42837325102882,-0.33016304347826086,-0.392235609103079,-0.36377245508982037,2019-12-31,2020-03-31,2020-06-30
97,LRCX,84.49812588540554,65.55038338775985,65.27013298922162,0.11748335228177006,0.12667051157140757,0.13468802477102923,2019-12-29,2020-03-29,2020-06-28
98,NVDA,156.63774889589908,201.35686521264995,419.4152697749196,0.07792527040314651,0.07000534391938316,0.04470317665660486,2020-01-26,2020-04-26,2020-07-26
99,PAYX,77.44117009873061,116.58340453103762,130.56999698156898,0.12845133705340966,0.07934852951750916,0.07615345857626142,2020-02-29,2020-05-31,2020-08-31
100,KLAC,73.2278751034673,285.35777447611275,73.57893591195688,0.14254256181445252,0.033999687098173595,0.1542917749671347,2019-12-31,2020-03-31,2020-06-30
101,CSCO,71.06858234885337,64.52862692862293,74.66949924127466,0.08099513128640981,0.0776856726783914,0.06951476793248945,2020-01-25,2020-04-25,2020-07-25
102,ADSK,334.10732169954474,622.7348721804511,534.9770468431772,-0.9475197699496765,-0.47807332854061824,1.4591381872213967,2020-01-31,2020-04-30,2020-07-31
