,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Sector,Q1 Rev Growth,Q1 Op Inc Growth,Q1 EPS Growth,Q2 Rev Growth,Q2 Op Inc Growth,Q2 EPS Growth,Q3 Rev Growth,Q3 Op Inc Growth,Q3 EPS Growth
0,WAB,6/30/2020,57.4712,3/31/2020,47.9386,12/31/2019,77.3759,109.8201794,82.21727634,125.9334359,0.013629287,0.011432318,0.008816121,Industrials,0.183194285,0.337078652,0.481060288,-0.18514609,-0.038920831,-0.172445605,-0.099746101,-0.26645191,-0.217315245
1,TTWO,6/30/2020,139.57,3/31/2020,118.61,12/31/2019,122.43,85.47999426,110.6799219,181.2825142,0.068126401,0.048330133,0.033385162,Communication Services,0.084267364,1.363445603,1.275125888,-0.182327398,-0.310739511,-0.251776912,0.093050868,-0.326055922,-0.281575141
2,CHD,6/30/2020,77.1044,3/31/2020,63.8084,12/31/2019,70.325,121.1424779,69.69498869,102.1419911,0.054126996,0.081552985,0.063258637,Consumer Staples,0.050302919,-0.099630996,-0.074680858,0.018353435,0.611680328,0.590777197,0.024974253,-0.203115067,-0.175492059
3,MLM,6/30/2020,206.0021,3/31/2020,188.1841,12/31/2019,277.4322,132.6284287,454.1122104,58.97946153,0.024482134,0.004889652,0.039627761,Materials,-0.225182116,-0.465523384,-0.472541549,-0.129251058,-0.686780286,-0.801893106,0.326027969,4.301038062,7.428523166
4,EW,6/30/2020,69.11,3/31/2020,62.8733,12/31/2019,77.7633,176.9257669,128.5615972,-351.6729532,0.067545742,0.079618569,-0.031752234,Health Care,0.07321755,0.05606524,0.018114012,-0.038667916,0.152187902,0.112665802,-0.180473111,-1.473889975,-1.401840303
5,PM,6/30/2020,70.06,3/31/2020,71.8157,12/31/2019,82.2803,79.22533837,61.27538916,56.06239343,-0.139587112,-0.141069221,-0.162290573,Consumer Staples,0.009290762,-0.101147776,-0.147680364,-0.072604693,0.11292897,0.128504853,-0.070180344,-0.020795984,0.066261668
6,DG,7/31/2020,190.4,5/1/2020,172.6713,1/31/2020,152.7787,72.80198079,67.32934603,60.96611863,0.079886162,0.090221257,0.107068162,Consumer Discretionary,0.023779095,0.466931343,0.479394016,0.180339698,0.20240541,0.222072383,0.027909501,0.202868304,0.217762753
7,SLB,9/30/2020,15.56,6/30/2020,18.2691,3/31/2020,13.3104,-2.502918221,-7.384248923,-263.5712195,-0.474005527,-0.285215947,-0.006867097,Energy,-0.093947496,-15.15248227,-23.11849603,-0.281556003,-0.559508895,-0.534771858,-0.018297237,-0.984926052,-0.979790304
8,C,6/30/2020,50.5877,3/31/2020,41.2598,12/31/2019,77.743,33.83280426,34.58003143,80.12153732,0.02576562,0.013112811,0.006867687,Financials,-0.010552385,-0.053138492,0.046312866,0.128033518,-0.454577341,-0.480747304,-0.046162751,-0.534405145,-0.470829806
9,NWL,6/30/2020,15.6544,3/31/2020,12.8821,12/31/2019,18.3856,9.859851247,-4.268517576,85.23620103,0.159933915,-0.37029531,0.02233677,Consumer Discretionary,0.2145597,0.796173546,2.261604974,-0.366348609,-9.406504065,-2.61846205,0.119300106,1.115767045,1.060856282
10,MS,6/30/2020,47.9658,3/31/2020,33.4703,12/31/2019,49.9954,35.74927887,31.00634976,23.36756902,0.027455885,0.01977638,0.036886145,Financials,0.016104527,0.008487085,0.047102779,-0.130233254,-0.214782291,-0.228122989,0.218153687,1.029356943,0.90155354
11,TAP,6/30/2020,34.36,3/31/2020,39.01,12/31/2019,53.287,70.60446121,-72.2518547,38.23651282,0.012198757,-0.009222329,0.014996655,Consumer Staples,-0.125070383,2.310155921,1.405845186,-0.154211246,-1.297523319,-1.71538166,0.190507894,5.951351351,2.664357683
12,MRK,6/30/2020,77.33,3/31/2020,76.3332,12/31/2019,89.4934,97.20441876,60.39784418,65.32607595,0.090940672,0.122839153,0.108602851,Health Care,-0.042671614,0.078085642,0.245646791,0.015925177,0.522196262,0.372739418,-0.098283155,-0.199539524,-0.063370363
13,HFC,6/30/2020,29.200001,3/31/2020,24.51,12/31/2019,50.709999,135.6882598,-13.02431934,-26.75593859,0.010137679,-0.054453742,-0.032823838,Energy,-0.009704332,-0.697307037,-0.764458226,-0.223954378,-4.376736877,-6.035481109,-0.393353124,0.564491984,0.420068443
14,HII,6/30/2020,173.3221,3/31/2020,180.0852,12/31/2019,246.7922,68.57179248,42.61318395,133.0982919,0.093828715,0.104686549,0.031585221,Industrials,0.086976115,-0.130841121,-0.037141573,-0.061774461,0.155913978,0.174216386,-0.104286346,-0.734883721,-0.691860465
15,NCLH,6/30/2020,16.43,3/31/2020,10.96,12/31/2019,58.41,103.4119201,-1.244778534,-5.497993525,0.018616458,-0.429970462,-0.164915582,Consumer Discretionary,-0.226367152,-0.628768633,-0.729860155,-0.157863811,-10.60193822,-16.58837172,-0.986422933,-0.685179388,-0.660597993
16,MTD,6/30/2020,805.55,3/31/2020,690.51,12/31/2019,793.28,101.1959313,171.3939915,154.214242,0.458075479,0.320221804,0.281190776,Health Care,0.119519915,0.364810846,0.507298014,-0.230821548,-0.48733468,-0.486061449,0.063945517,0.310179833,0.296562988
17,FBHS,6/30/2020,63.7509,3/31/2020,42.9677,12/31/2019,64.6731,87.59757061,55.4523571,76.96352176,0.04289953,0.046287654,0.047038752,Industrials,0.007882111,0.145833333,-0.014903865,-0.046106766,-0.194805195,0.049519166,-0.019177301,0.116129032,0.069006014
18,ALK,6/30/2020,36.26,3/31/2020,28.47,12/31/2019,67.368,46.52597848,-15.0716744,-20.89118206,0.041791734,-0.057783313,-0.055426055,Industrials,-0.067392214,-0.402843602,-0.442094961,-0.265709156,-2.273809524,-2.304564321,-0.742665037,0.102803738,0.081160633
19,CFG,6/30/2020,24.844,3/31/2020,18.193,12/31/2019,38.8758,37.68348267,229.7609274,41.98605755,0.020269357,0.001548975,0.011285574,Financials,-0.000610501,-0.040780142,0.027355926,0.012217471,-0.916820702,-0.92324842,0.056125528,5.822222222,6.473099267
20,EXR,6/30/2020,92.37,3/31/2020,94.8443,12/31/2019,103.6322,126.6695378,120.2350324,115.8607705,0.044206191,0.045109938,0.043318362,Real Estate,-0.005048814,0.012340289,0.039383583,-0.009973169,-0.045273163,-0.035825602,-0.015659403,-0.045791426,0.010686849
21,HSIC,6/27/2020,,3/28/2020,,12/28/2019,,29.72486506,54.92626342,-747.1496249,0.110025737,0.043791437,-0.003609724,Health Care,0.063845706,0.04880394,1.367662759,-0.089949534,-0.114442735,-0.593589835,-0.306509485,-1.04275156,-1.083323264
22,DISCK,6/30/2020,19.26,3/31/2020,17.54,12/31/2019,30.49,31.53995798,27.98931034,35.81535055,0.048124558,0.039809926,0.027465288,Communication Services,0.073188947,0.138933764,0.816793678,-0.512178149,0.104964539,-0.049579792,-0.092011412,-0.079589217,-0.994714456
23,VRTX,6/30/2020,290.31,3/31/2020,237.95,12/31/2019,218.95,98.41138668,104.0283404,91.3307833,0.095843979,0.093281534,0.11135032,Health Care,0.48791676,4.551679704,9.075355493,0.072061503,0.306019421,0.028100897,0.006189662,-0.003042109,0.389667564
24,PSX,6/30/2020,70.8835,3/31/2020,52.2281,12/31/2019,107.3767,65.37752929,-9.23502035,-220.5713541,0.029546367,-0.116788321,-0.006806662,Energy,0.075109589,0.325678497,0.040349399,-0.307921606,-7.067716535,-4.443378937,-0.459725729,0.846353491,0.943176835
25,CMG,6/30/2020,1052.36,3/31/2020,654.4,12/31/2019,837.11,328.0191306,242.63721,3647.28023,0.043027262,0.045686056,0.004796139,Consumer Discretionary,0.026021998,-0.151053874,-0.265110895,-0.020449597,-0.275428909,0.056821655,-0.032630361,-1.06944503,-0.893019358
26,CERN,6/30/2020,68.55,3/31/2020,62.6495,12/28/2019,,148.6932283,132.928872,156.0353426,0.035746879,0.038093707,0.033535954,Health Care,0.008957429,1.059441071,0.909020097,-0.021141536,-0.024366765,-0.038477232,-0.057653635,-0.176469929,-0.06785487
27,NRG,6/30/2020,32.2714,3/31/2020,26.7844,12/31/2019,38.7412,2.885835767,55.11831074,25.36346454,2.040410133,0.078776042,0.178857143,Utilities,-0.267356475,-0.52886836,8.238402621,-0.080182232,0.107843137,-0.963802273,0.108469539,1.14159292,1.618347944
28,J,6/26/2020,82.3143,3/27/2020,74.5279,12/27/2019,88.9404,46.13946568,59.75330224,44.11445843,0.042797603,0.029647687,0.041969645,Industrials,-0.009671478,0.527399887,0.844402132,1.019979173,1.108558478,-0.352960096,-0.519677765,-0.39090761,0.496023283
29,KIM,6/30/2020,12.84,3/31/2020,9.39,12/31/2019,20.1103,77.97140763,44.95407786,7.402426283,0.022491558,0.018733402,0.134597592,Real Estate,0.046872956,0.158519731,0.29283208,-0.021564853,0.063762168,-0.190136476,-0.175423822,-0.441329254,7.304145921
30,GOOGL,6/30/2020,1418.05,3/31/2020,1161.95,12/31/2019,1339.39,87.25841554,125.5591,149.4421743,0.052973064,0.033565912,0.033566143,Communication Services,0.137682412,0.009698158,0.516289826,-0.106695605,-0.139110727,-0.397107694,-0.069535217,-0.199824495,0.025365752
31,GPC,9/30/2020,95.169998,6/30/2020,86.2681,3/31/2020,66.2023,70.04468566,-22.05142821,60.45211189,0.040125465,-0.198075651,0.07548937,Consumer Discretionary,-0.130394891,6.837513935,14.48140868,-0.065802636,-2.724185958,-5.13920689,0.143035975,-2.023202654,-1.071572264
32,CMCSA,6/30/2020,38.98,3/31/2020,34.1769,12/31/2019,44.2059,64.61722638,73.49545752,60.10068942,0.038222566,0.026341619,0.035735642,Communication Services,0.058560406,-0.01741573,-0.017732278,-0.062997394,-0.075281113,-0.320265451,-0.108760194,-0.042250618,0.39473571
33,WAT,6/27/2020,233.65,3/28/2020,,12/31/2019,233.65,74.59441792,216.7274441,88.40286539,-0.927816128,-0.158467924,-0.641116709,Health Care,0.240812919,0.364718446,0.514015033,-0.35091038,-0.711188282,-0.726948826,0.118391875,1.271734036,1.311387047
34,RHI,6/30/2020,52.5055,3/31/2020,37.2551,12/31/2019,61.9642,63.06244711,47.17556777,128.5711894,0.098665452,0.079576078,0.039937547,Industrials,-0.009501125,-0.059439441,-0.028427912,-0.019965071,-0.144443718,-0.196289361,-0.264397279,-0.557214501,-0.48287346
35,EOG,6/30/2020,50.2597,3/31/2020,35.3197,12/31/2019,82.0868,74.73817816,2088.598948,-31.98455584,0.029413121,0.000457042,-0.044604854,Energy,-0.024092828,0.043229194,0.037874206,0.119265535,-0.933331481,-0.984603758,-0.76811589,-19.86861162,-93.92548788
36,PNW,6/30/2020,72.5961,3/31/2020,74.3089,12/31/2019,87.4737,154.2386875,279.6202805,42.33063084,0.011781467,0.005483764,0.035264198,Utilities,-0.437018543,-0.970252176,-0.795239969,-0.012620993,2.369342336,-0.531412551,0.404362999,5.478501806,5.45335842
