Company,Q1 Op Income Growth,Q2 Op Income Growth,Q3 Op Income Growth,Q1 EPS Growth,Q2 EPS Growth,Q3 EPS Growth,Q1 Rev Growth,Q2 Rev Growth,Q3 Rev Growth,Q1 Date,Q2 Date,Q3 Date
LBTYK,-573000000,280600000,526800000,-1.18079,1.50337,-0.83852,0.0,2875800000,2722900000,2019-12-31,2020-03-31,2020-06-30
EBAY,619000000,629000000,821000000,0.68305,4.50727,1.04923,2821000000,2374000000,2865000000,2019-12-31,2020-03-31,2020-06-30
BIDU,5456000000,-437000000,3644000000,179.71734,1.17959,103.72223,28884000000,22545000000,26034000000,2019-12-31,2020-03-31,2020-06-30
MAR,274000000,114000000,-154000000,0.84443,0.09469,-0.71867,5371000000,4681000000,1464000000,2019-12-31,2020-03-31,2020-06-30
CTXS,185361000,201547000,143671000,1.5562,1.42049,0.89797,809823000,860945000,798929000,2019-12-31,2020-03-31,2020-06-30
WDC,50000000,153000000,261000000,-0.46644,0.05611,0.49664,4234000000,4175000000,4287000000,2020-01-03,2020-04-03,2020-07-03
VRSK,200400000,252300000,259700000,0.79534,1.03606,1.08417,676800000,689800000,678800000,2019-12-31,2020-03-31,2020-06-30
QCOM,958000000,654000000,827000000,0.7981,0.4066,0.74188,5077000000,5216000000,4893000000,2019-12-29,2020-03-29,2020-06-28
ADI,273428000,344020000,419124000,0.54766,0.72096,0.9749,1303565000,1317060000,1456136000,2020-02-01,2020-05-02,2020-08-01
MDLZ,906000000,856000000,713000000,0.49897,0.51093,0.37804,6913000000,6707000000,5911000000,2019-12-31,2020-03-31,2020-06-30
CDNS,139351000,151950000,169272000,0.44398,0.47043,0.59,617957000,638418000,630329000,2020-03-28,2020-06-27,2020-09-26
AVGO,714000000,766000000,1008000000,0.91667,1.35012,1.63033,5858000000,5742000000,5821000000,2020-02-02,2020-05-03,2020-08-02
ALXN,541000000,695500000,-1370200000,3.98655,2.50494,-4.8418,1384300000,1444800000,1444600000,2019-12-31,2020-03-31,2020-06-30
NFLX,958256000,1357928000,1314863000,1.56702,1.58653,1.79,5767691000,6148286000,6435637000,2020-03-31,2020-06-30,2020-09-30
BKNG,1172000000,-409000000,-484000000,27.7521,-17.0102,2.97597,3339000000,2288000000,630000000,2019-12-31,2020-03-31,2020-06-30
ORLY,441503000,423561000,736490000,4.24771,3.97074,7.10471,2482975000,2476487000,3091595000,2019-12-31,2020-03-31,2020-06-30
ILMN,268000000,189000000,96000000,1.60403,1.16892,0.31757,952000000,859000000,633000000,2019-12-29,2020-03-29,2020-06-28
MNST,317045000,364988000,407264000,0.47103,0.51587,0.58617,1017206000,1062097000,1093896000,2019-12-31,2020-03-31,2020-06-30
GOOGL,9266000000,7977000000,6383000000,15.34969,9.25421,9.48895,46075000000,41159000000,38297000000,2019-12-31,2020-03-31,2020-06-30
ATVI,454000000,612000000,749000000,0.67829,0.65245,0.74742,1986000000,1788000000,1932000000,2019-12-31,2020-03-31,2020-06-30
SIRI,468000000,415000000,478000000,0.06489,0.05452,0.07,1952000000,1874000000,1594000000,2020-03-31,2020-06-30,2020-09-30
LRCX,686511000,694114000,755722000,3.42785,3.87933,4.7259,2583501000,2503625000,2791864000,2019-12-29,2020-03-29,2020-06-28
NVDA,990000000,976000000,651000000,1.5314,1.47428,0.99361,3105000000,3080000000,3866000000,2020-01-26,2020-04-26,2020-07-26
PAYX,470100000,299600000,284000000,0.98199,0.61187,0.58566,1142700000,915100000,932200000,2020-02-29,2020-05-31,2020-08-31
KLAC,462831000,153426000,453158000,2.39916,0.49915,2.63182,1509453000,1423964000,1459593000,2019-12-31,2020-03-31,2020-06-30
CSCO,3380000000,3414000000,3247000000,0.67559,0.65378,0.6214,12005000000,11983000000,12154000000,2020-01-25,2020-04-25,2020-07-25
ADSK,133800000,130600000,146100000,0.58918,0.3005,0.44194,899300000,885700000,913100000,2020-01-31,2020-04-30,2020-07-31
