,Company,Q1 Date,Q1 Price,Q2 Date,Q2 Price,Q3 Date,Q3 Price
81,WDC,2020-01-03,63.7746,2020-04-03,38.21,2020-07-03,
82,VRSK,2019-12-31,148.8268,2020-03-31,139.1487,2020-06-30,170.2
83,QCOM,2019-12-29,,2020-03-29,,2020-06-28,
84,ADI,2020-02-01,,2020-05-02,,2020-08-01,
85,MDLZ,2019-12-31,54.4406,2020-03-31,49.795,2020-06-30,51.13
86,CDNS,2020-03-28,,2020-06-27,,2020-09-26,
87,AVGO,2020-02-02,,2020-05-03,,2020-08-02,
88,ALXN,2019-12-31,108.15,2020-03-31,89.79,2020-06-30,112.24
89,NFLX,2020-03-31,375.5,2020-06-30,455.04,2020-09-30,500.029999
90,BKNG,2019-12-31,2053.73,2020-03-31,1345.3199,2020-06-30,1592.34
91,ORLY,2019-12-31,438.26,2020-03-31,301.05,2020-06-30,421.67
92,ILMN,2019-12-29,,2020-03-29,,2020-06-28,
93,MNST,2019-12-31,63.55,2020-03-31,56.26,2020-06-30,69.32
94,GOOGL,2019-12-31,1339.39,2020-03-31,1161.95,2020-06-30,1418.05
95,ATVI,2019-12-31,59.0318,2020-03-31,59.0914,2020-06-30,75.9
96,SIRI,2019-12-31,7.105,2020-03-31,4.9178,2020-06-30,5.8571
97,LRCX,2019-12-29,,2020-03-29,,2020-06-28,
98,NVDA,2020-01-26,,2020-04-26,,2020-07-26,
99,PAYX,2020-02-29,,2020-05-31,,2020-08-31,76.470001
100,KLAC,2019-12-31,175.6855,2020-03-31,142.4356,2020-06-30,193.6463
101,CSCO,2020-01-25,,2020-04-25,,2020-07-25,
102,ADSK,2020-01-31,196.85,2020-04-30,187.13,2020-07-31,236.43
