,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Sector,Q1 Rev Growth,Q1 Op Inc Growth,Q1 EPS Growth,Q2 Rev Growth,Q2 Op Inc Growth,Q2 EPS Growth,Q3 Rev Growth,Q3 Op Inc Growth,Q3 EPS Growth
0,WAB,2020-06-30,57.4712,2020-03-31,47.9386,2019-12-31,77.3759,109.82017936624908,82.21727634408602,125.93343594470045,0.01362928740019083,0.011432317810239914,0.008816120906801008,Industrials,0.1831942848578708,0.33707865168539325,0.4810602875641135,-0.18514609018746836,-0.038920831490490936,-0.1724456051208539,-0.09974610083424013,-0.2664519098021169,-0.2173152451678186
1,TTWO,2020-06-30,139.57,2020-03-31,118.61,2019-12-31,122.43,85.47999425575344,110.67992185590195,181.28251420823682,0.06812640115568674,0.048330132905699486,0.03338516228421578,Communication Services,0.08426736423183318,1.3634456027800053,1.275125887566915,-0.18232739759753755,-0.31073951129031346,-0.25177691201318203,0.093050867737571,-0.3260559220242197,-0.2815751411374982
2,CHD,2020-06-30,77.1044,2020-03-31,63.8084,2019-12-31,70.325,121.14247790858728,69.69498868581374,102.14199114391144,0.054126996026688655,0.08155298459791327,0.06325863678804855,Consumer Staples,0.05030291903800257,-0.0996309963099631,-0.07468085790539887,0.018353434714210803,0.6116803278688525,0.5907771966708947,0.024974253347064882,-0.2031150667514304,-0.17549205933110512
3,MLM,2020-06-30,206.0021,2020-03-31,188.1841,2019-12-31,277.4322,132.62842865212713,454.1122104247104,58.97946153492647,0.02448213351274576,0.004889652438218582,0.03962776128644534,Materials,-0.22518211633759225,-0.4655233836234986,-0.4725415488891298,-0.12925105776640447,-0.6867802855826808,-0.8018931064155272,0.32602796910874554,4.301038062283737,7.428523166023166
4,EW,2020-06-30,69.11,2020-03-31,62.8733,2019-12-31,77.7633,176.92576688027836,128.56159715214102,-351.67295324036104,0.06754574162910107,0.07961856912152983,-0.031752233596415824,Health Care,0.07321755027422304,0.05606523955147808,0.0181140117208311,-0.03866791585043863,0.15218790218790218,0.11266580210679593,-0.18047311065827945,-1.4738899748673555,-1.4018403026275432
5,PM,2020-06-30,70.06,2020-03-31,71.8157,2019-12-31,82.2803,79.22533836633663,61.27538915662652,56.06239342578326,-0.13958711237799085,-0.14106922126081586,-0.1622905726431608,Consumer Staples,0.009290761580738029,-0.1011477761836442,-0.14768036372290752,-0.07260469337482173,0.11292897047086993,0.1285048528732092,-0.07018034391164546,-0.020795984223736103,0.06626166788962631
6,DG,2020-07-31,190.4,2020-05-01,172.6713,2020-01-31,152.7787,72.80198079363211,67.32934602580383,60.96611863113429,0.07988616187989556,0.09022125669988323,0.1070681617945232,Consumer Discretionary,0.023779095238960248,0.4669313434415171,0.4793940162986775,0.18033969846494136,0.20240541009190224,0.22207238331228704,0.0279095014954816,0.2028683039834607,0.21776275257547054
7,SLB,2020-09-30,15.56,2020-06-30,18.2691,2020-03-31,13.3104,-2.5029182212581347,-7.384248922539313,-263.5712195121951,-0.4740055266371056,-0.2852159468438538,-0.006867096558077213,Energy,-0.09394749635391346,-15.152482269503546,-23.11849602794992,-0.2815560026827633,-0.5595088950137811,-0.5347718575766978,-0.018297236743838687,-0.9849260523321955,-0.9797903041963412
8,C,2020-06-30,50.5877,2020-03-31,41.2598,2019-12-31,77.743,33.83280425788311,34.58003142743854,80.12153731762919,0.025765620310284516,0.013112810727339849,0.00686768742628717,Financials,-0.010552385054377087,-0.053138492195283965,0.04631286569678765,0.12803351833714224,-0.4545773412837601,-0.4807473040132993,-0.046162751435048964,-0.5344051446945337,-0.4708298063142721
9,NWL,2020-06-30,15.6544,2020-03-31,12.8821,2019-12-31,18.3856,9.859851247165533,-4.268517576231432,85.23620102564101,0.1599339149356275,-0.3702953097857557,0.02233676975945017,Consumer Discretionary,0.21455969966538807,0.7961735462488702,2.261604974188616,-0.3663486090579223,-9.40650406504065,-2.618462049992224,0.11930010604453872,1.1157670454545454,1.0608562822862029
10,MS,2020-06-30,47.9658,2020-03-31,33.4703,2019-12-31,49.9954,35.749278874497534,31.006349764428744,23.36756902377973,0.02745588541858269,0.019776380153738643,0.03688614461307635,Financials,0.01610452749924035,0.008487084870848708,0.047102778547308696,-0.13023325358851676,-0.21478229052323453,-0.2281229889166965,0.2181536874677669,1.0293569431500469,0.9015535401632284
11,TAP,2020-06-30,34.36,2020-03-31,39.01,2019-12-31,53.287,70.60446120952963,-72.25185470085471,38.23651282051282,0.012198757023413864,-0.009222329071618874,0.014996654592437072,Consumer Staples,-0.12507038288288289,2.3101559207753897,1.4058451859220822,-0.15421124607835252,-1.297523319395304,-1.7153816596663705,0.1905078942362564,5.951351351351351,2.664357682619648
12,MRK,2020-06-30,77.33,2020-03-31,76.3332,2019-12-31,89.4934,97.2044187606112,60.397844175209684,65.32607594936711,0.09094067240514146,0.12283915283342875,0.1086028507343897,Health Care,-0.04267161410018553,0.07808564231738035,0.24564679141129184,0.015925176946410515,0.522196261682243,0.3727394180325199,-0.09828315501368501,-0.1995395241749808,-0.06337036333713128
13,HFC,2020-06-30,29.200001,2020-03-31,24.51,2019-12-31,50.709998999999996,135.6882598438248,-13.024319338986226,-26.75593858786939,0.0101376787266654,-0.054453742035668974,-0.03282383807622438,Energy,-0.00970433201019339,-0.6973070371316302,-0.7644582261886754,-0.2239543776563892,-4.376736877143277,-6.035481108851548,-0.3933531242786083,0.564491984493956,0.4200684429234906
