,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
66,Salesforce.Com Inc,CRM,2020-07-31,194.85,2020-04-30,161.95,2020-01-31,182.31
67,Tyson Foods Inc,TSN,2020-06-27,,2020-03-28,,2019-12-28,
68,Valero Energy Corp,VLO,2020-06-30,57.7949,2020-03-31,43.8799,2019-12-31,89.5418
69,M&T Bank Corp,MTB,2020-06-30,102.8951,2020-03-31,101.3284,2019-12-31,165.0363
70,Apartment Investment and Management Co,AIV,2020-06-30,37.2279,2020-03-31,34.3494,2019-12-31,50.091
71,Ameren Corp,AEE,2020-06-30,70.36,2020-03-31,72.3631,2019-12-31,75.8448
72,Thermo Fisher Scientific Inc,TMO,2020-06-27,324.4063,2020-03-28,,2019-12-31,324.4063
73,Verizon Communications Inc,VZ,2020-06-30,54.5178,2020-03-31,52.568,2019-12-31,59.4534
74,HCA Healthcare Inc,HCA,2020-06-30,97.06,2020-03-31,89.85,2019-12-31,147.311
75,Cisco Systems Inc,CSCO,2020-07-25,,2020-04-25,,2020-01-25,
76,Amgen Inc,AMGN,2020-06-30,234.2906,2020-03-31,200.0271,2019-12-31,236.1794
77,Fox Corp,FOXA,2020-06-30,26.5986,2020-03-31,23.4349,2019-12-31,36.5006
78,Old Dominion Freight Line Inc,ODFL,2020-06-30,169.4642,2020-03-31,131.0455,2019-12-31,126.0954
