,Company,Q1 Date,Q1 Price,Q2 Date,Q2 Price,Q3 Date,Q3 Price,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Op Income Growth,Q2 Op Income Growth,Q3 Op Income Growth,Q1 EPS Growth,Q2 EPS Growth,Q3 EPS Growth,Q1 Rev Growth,Q2 Rev Growth,Q3 Rev Growth,Q1 Price Change,Q2 Price Change,Q3 Price Change
0,DOCU,2020-01-31,78.51,2020-04-30,104.75,2020-07-31,216.83,-299.59728668762,-400.9485712492678,-620.8740312887237,-0.08677403825913785,-0.0914405074332234,-0.12863350807246993,0.03736618405800395,0.01180553915897339,-0.4009748405132249,-0.0027551371828722247,0.0030146918526999162,-0.3367143841384061,0.10177473527266316,0.08047436293857654,0.15215290707265913,0.0,33.422493949815305,106.99761336515515
1,ZM,2020-01-31,76.3,2020-04-30,135.17,2020-07-31,253.91,1191.1003530869027,1473.6897892225295,405.6824980622509,0.01839334342994665,0.030028914267588407,0.15514442631538555,7.285288862418107,1.2159575476167914,7.043788753474449,7.484768211920531,0.4317827037152667,5.8238116005233325,0.13000546241438715,0.7432417357676718,1.0218973876105764,0.0,77.15596330275228,87.84493600651032
2,DXCM,2019-12-31,218.74,2020-03-31,269.27,2020-06-30,405.4,218.50403451995686,1273.28175879397,849.3261339092871,0.10503059143439836,0.021294810058855,0.03419750350838319,0.8125,-0.6689655172413793,0.8571428571428571,1.0218120127640666,-0.7887481519958445,1.2570455835067147,0.16780217007317688,-0.12467588591184095,0.11528017773389285,0.0,23.100484593581406,50.55520481301296
3,SPLK,2020-01-31,155.26,2020-04-30,140.36,2020-07-31,209.82,-1064.4340874692011,-72.35926631083943,-127.62533824170946,-0.011367245348547009,-0.1688230468134946,-0.15652888532424147,0.8363904390860272,-36.14918264898957,0.17030823389186867,0.6143310417768376,-12.298848210612915,0.15246137428664214,0.2631910029121749,-0.4513563250933413,0.13265158024958704,0.0,-9.596805358753045,49.487033342832696
4,SGEN,2019-12-31,114.26,2020-03-31,115.38,2020-06-30,169.92,759.5569523809523,-118.08495742330851,-1390.5213553563,0.01376655063964095,-0.09537850203158328,-0.011680871319133642,0.572150940033859,-1.9248451085541731,0.16367762894397225,1.275134887974394,-7.495313434820182,0.8749347552426082,0.3589042637494549,-0.1907841161612676,0.1854217658647245,0.0,0.9802205496236568,47.26989079563182
5,CDW,2019-12-31,141.4539,2020-03-31,92.6278,2020-06-30,115.7828,111.73028954741379,79.9390602739726,88.35250153358011,0.1932729355409768,0.18871529729122175,0.17913982569154982,-0.11478477854023705,-0.1338971106412967,0.1529698942229455,-0.07605237038766925,-0.08475312591328796,0.1309450864308337,-0.07555474050981112,-0.032555269016288656,-0.005354050852091497,0.0,-34.51732331169379,24.997894800481067
6,XEL,2019-12-31,62.6646,2020-03-31,59.9016,2020-06-30,62.5,112.88212191780823,107.01065491525424,114.76480836236937,0.02205604652919405,0.022177116223124342,0.02144191258871872,-0.4063324538258575,0.011111111111111113,-0.07252747252747252,-0.4511922651059791,0.008358402536342797,-0.027118280722439526,-0.07135745104546963,0.004646175839885632,-0.08004268943436499,0.0,-4.4091879625817425,4.33778062689477
7,GILD,2019-12-31,63.8124,2020-03-31,74.1004,2020-06-30,76.94,30.154672700296732,60.67537588652482,-28.91874812818209,0.11968923418423975,0.07028594734218516,-0.1852221667498752,1.7420230821452818,1.1976212259835315,-2.2418817651956697,3.3014605922848537,-0.4228913556094264,-3.178536920884988,0.04907209136331192,-0.05630209219254975,-0.07299927901946647,0.0,16.12225836984661,3.8320980723450946
8,TTWO,2019-12-31,122.43,2020-03-31,118.61,2020-06-30,139.57,85.47999425575344,110.67992185590195,181.28251420823682,0.06812640115568674,0.048330132905699486,0.03338516228421578,1.3634456027800053,-0.31073951129031346,-0.3260559220242197,1.275125887566915,-0.25177691201318203,-0.2815751411374982,0.08426736423183318,-0.18232739759753755,0.093050867737571,0.0,-3.1201502899616167,17.67135991906247
9,CHTR,2019-12-31,485.08,2020-03-31,436.31,2020-06-30,510.04,148.87442853725491,234.4732253765152,140.43208978851177,0.022706312609317856,0.013365735115431349,0.026093473225235045,0.21941992433795712,-0.08221302998965874,0.08901408450704225,0.8721135338561865,-0.4289050799184855,0.9518005599711952,0.027161572052401748,-0.0019556160190459995,-0.0035781223377065936,0.0,-10.054011709408753,16.898535444981782
10,FISV,2019-12-31,115.63,2020-03-31,94.99,2020-06-30,97.62,325.2620404858299,167.4925714285714,33229.848,0.007489614603232359,0.012310397889646076,6.332520659848652e-05,0.13002364066193853,0.3158995815899582,-0.7376788553259142,0.0717192728588224,0.5953023909985937,-0.994816003385467,0.29315856777493604,-0.06823238566131026,-0.08065799946935527,0.0,-17.850038917236013,2.7687124960522262
11,MU,2020-02-27,50.58,2020-05-28,46.47,2020-09-03,46.330002,141.49911111111112,65.33577833125779,53.03566018421052,0.010939145936309862,0.02123215230037017,0.025335931890450303,-0.21428571428571427,1.0136363636363637,0.3058690744920993,-0.17806392274086,0.9897331169921112,0.22820386643233734,-0.06745723172628305,0.1336251824056702,0.11364472232438395,0.0,-8.12574139976275,-0.30126533247255977
12,CTSH,2019-12-31,61.3655,2020-03-31,46.1254,2020-06-30,56.6331,85.60098860759494,68.62252970027247,84.87121080332409,0.03583741607693704,0.03458023179119947,0.03290193219103172,-0.06427503736920777,-0.07507987220447285,-0.19343696027633853,-0.20523281596452334,-0.06238143064390132,-0.007260176148536056,0.00847457627118644,-0.01377217553688142,-0.05325443786982249,0.0,-24.83496427145546,22.780723852801277
